  145/80/10 Unpopulär | 0% bis 0.5% 
  165/70/10 Unpopulär | 0% bis 0.5% 
  125/80/12 Unpopulär | 0% bis 0.5% 
  135/80/12 Unpopulär | 0% bis 0.5% 
  145/70/12 Unpopulär | 0% bis 0.5% 
  145/80/12 Unpopulär | 0% bis 0.5% 
  155/70/12 Unpopulär | 0% bis 0.5% 
  155/80/12 Unpopulär | 0% bis 0.5% 
  165/60/12 Unpopulär | 0% bis 0.5% 
  165/70/12 Unpopulär | 0% bis 0.5% 
  155/80/12 C Unpopulär | 0% bis 0.5% 
  135/70/13 Unpopulär | 0% bis 0.5% 
  135/80/13 Unpopulär | 0% bis 0.5% 
  145/55/13 Unpopulär | 0% bis 0.5% 
  145/60/13 Unpopulär | 0% bis 0.5% 
  145/65/13 Unpopulär | 0% bis 0.5% 
  145/70/13 Unpopulär | 0% bis 0.5% 
  145/80/13 Wenig populär | 0.5% bis 1.5% 
  150/80/13 Unpopulär | 0% bis 0.5% 
  155/60/13 Unpopulär | 0% bis 0.5% 
  155/65/13 Unpopulär | 0% bis 0.5% 
  155/70/13 Populär | 1.5% bis 5% 
  155/80/13 Wenig populär | 0.5% bis 1.5% 
  165/55/13 Unpopulär | 0% bis 0.5% 
  165/60/13 Unpopulär | 0% bis 0.5% 
  165/65/13 Unpopulär | 0% bis 0.5% 
  165/70/13 Wenig populär | 0.5% bis 1.5% 
  165/80/13 Unpopulär | 0% bis 0.5% 
  175/50/13 Unpopulär | 0% bis 0.5% 
  175/60/13 Unpopulär | 0% bis 0.5% 
  175/65/13 Unpopulär | 0% bis 0.5% 
  175/70/13 Populär | 1.5% bis 5% 
  175/80/13 Wenig populär | 0.5% bis 1.5% 
  185/55/13 Unpopulär | 0% bis 0.5% 
  185/60/13 Unpopulär | 0% bis 0.5% 
  185/70/13 Unpopulär | 0% bis 0.5% 
  195/45/13 Unpopulär | 0% bis 0.5% 
  195/55/13 Unpopulär | 0% bis 0.5% 
  195/60/13 Unpopulär | 0% bis 0.5% 
  195/70/13 Unpopulär | 0% bis 0.5% 
  205/60/13 Unpopulär | 0% bis 0.5% 
  215/60/13 Unpopulär | 0% bis 0.5% 
  225/50/13 Unpopulär | 0% bis 0.5% 
  235/60/13 Unpopulär | 0% bis 0.5% 
  155/70/13 C Wenig populär | 0.5% bis 1.5% 
  165/70/13 C Unpopulär | 0% bis 0.5% 
  165/80/13 C Unpopulär | 0% bis 0.5% 
  135/55/14 Unpopulär | 0% bis 0.5% 
  135/70/14 Unpopulär | 0% bis 0.5% 
  135/80/14 Unpopulär | 0% bis 0.5% 
  145/65/14 Unpopulär | 0% bis 0.5% 
  145/80/14 Unpopulär | 0% bis 0.5% 
  155/65/14 Wenig populär | 0.5% bis 1.5% 
  155/80/14 Unpopulär | 0% bis 0.5% 
  165/60/14 Wenig populär | 0.5% bis 1.5% 
  165/65/14 Wenig populär | 0.5% bis 1.5% 
  165/70/14 Populär | 1.5% bis 5% 
  165/80/14 Unpopulär | 0% bis 0.5% 
  175/50/14 Unpopulär | 0% bis 0.5% 
  175/60/14 Unpopulär | 0% bis 0.5% 
  175/65/14 Populär | 1.5% bis 5% 
  175/70/14 Wenig populär | 0.5% bis 1.5% 
  175/75/14 Unpopulär | 0% bis 0.5% 
  175/80/14 Unpopulär | 0% bis 0.5% 
  185/45/14 Unpopulär | 0% bis 0.5% 
  185/50/14 Unpopulär | 0% bis 0.5% 
  185/55/14 Wenig populär | 0.5% bis 1.5% 
  185/60/14 Populär | 1.5% bis 5% 
  185/65/14 Populär | 1.5% bis 5% 
  185/70/14 Wenig populär | 0.5% bis 1.5% 
  185/80/14 Unpopulär | 0% bis 0.5% 
  195/40/14 Unpopulär | 0% bis 0.5% 
  195/45/14 Unpopulär | 0% bis 0.5% 
  195/50/14 Unpopulär | 0% bis 0.5% 
  195/55/14 Unpopulär | 0% bis 0.5% 
  195/60/14 Wenig populär | 0.5% bis 1.5% 
  195/65/14 Unpopulär | 0% bis 0.5% 
